Ano;Regiao;Curso;Ano Escolar;Valor Alunos;Valor RSI ;Valor GMM
2012;Anadia;Cursos Tecnológicos e Profissionais;10º ano;11.5;141;925.3
2012;Anadia;Cursos Tecnológicos e Profissionais;11º ano;2.0;141;925.3
2012;Anadia;Cursos Tecnológicos e Profissionais;12º ano;28.9;141;925.3
2012;Angra do Heroísmo;Cursos gerais;10º ano;36.9;1544;
2012;Angra do Heroísmo;Cursos gerais;11º ano;21.2;1544;
2012;Angra do Heroísmo;Cursos gerais;12º ano;36.4;1544;
2012;Angra do Heroísmo;Cursos Tecnológicos e Profissionais;10º ano;39.5;1544;
2012;Angra do Heroísmo;Cursos Tecnológicos e Profissionais;11º ano;2.6;1544;
2012;Angra do Heroísmo;Cursos Tecnológicos e Profissionais;12º ano;28.4;1544;
2012;Ansião;Cursos gerais;10º ano;22.2;129;829.2
2012;Ansião;Cursos gerais;11º ano;14.1;129;829.2
2012;Ansião;Cursos gerais;12º ano;28.3;129;829.2
2012;Ansião;Cursos Tecnológicos e Profissionais;10º ano;2.2;129;829.2
2012;Ansião;Cursos Tecnológicos e Profissionais;11º ano;0.0;129;829.2
2012;Ansião;Cursos Tecnológicos e Profissionais;12º ano;15.9;129;829.2
2012;Arcos de Valdevez;Cursos gerais;10º ano;12.0;128;789.9
2012;Arcos de Valdevez;Cursos gerais;11º ano;9.2;128;789.9
2012;Arcos de Valdevez;Cursos gerais;12º ano;35.7;128;789.9
2012;Arcos de Valdevez;Cursos Tecnológicos e Profissionais;10º ano;6.2;128;789.9
2012;Arcos de Valdevez;Cursos Tecnológicos e Profissionais;11º ano;4.0;128;789.9
2012;Arcos de Valdevez;Cursos Tecnológicos e Profissionais;12º ano;6.6;128;789.9
2012;Arganil;Cursos gerais;10º ano;20.5;219;770.4
2012;Arganil;Cursos gerais;11º ano;8.1;219;770.4
2012;Arganil;Cursos gerais;12º ano;30.6;219;770.4
2012;Arganil;Cursos Tecnológicos e Profissionais;10º ano;9.3;219;770.4
2012;Arganil;Cursos Tecnológicos e Profissionais;11º ano;3.6;219;770.4
2012;Arganil;Cursos Tecnológicos e Profissionais;12º ano;17.9;219;770.4
2012;Armamar;Cursos gerais;10º ano;;100;748.2
2012;Armamar;Cursos gerais;11º ano;;100;748.2
2012;Armamar;Cursos gerais;12º ano;;100;748.2
2012;Armamar;Cursos Tecnológicos e Profissionais;10º ano;;100;748.2
2012;Armamar;Cursos Tecnológicos e Profissionais;11º ano;;100;748.2
2012;Armamar;Cursos Tecnológicos e Profissionais;12º ano;;100;748.2
2012;Arouca;Cursos gerais;10º ano;9.7;211;744.6
2012;Arouca;Cursos gerais;11º ano;12.6;211;744.6
2012;Arouca;Cursos gerais;12º ano;37.4;211;744.6
2012;Arouca;Cursos Tecnológicos e Profissionais;10º ano;1.4;211;744.6
2012;Arouca;Cursos Tecnológicos e Profissionais;11º ano;0.0;211;744.6
