Ano;Regiao;Alunos10CGeral;Alunos10CProfissional;Alunos11CGeral;Alunos11CProfissional;Alunos12CGeral;Alunos12CProfissional;valor_RSI;valor_GMM;Valor GMM
2012;Mogadouro;0.913;0.425;0.787;0.038;1.0;0.348;0.051;0.14;776.4
2012;Moimenta da Beira;0.0;0.812;0.0;0.07;0.547;0.139;0.331;0.077;734.6
2012;Moita;0.592;0.0;0.627;0.0;1.0;0.631;1.0;0.401;949.4
2012;Monção;0.0;0.0;0.0;0.0;0.707;0.0;0.067;0.136;773.5
2012;Monchique;0.331;0.331;0.331;0.331;0.331;0.331;0.054;0.134;772.2
2012;Mondim de Basto;0.202;0.425;0.0;0.15;1.0;0.408;0.241;0.087;741.4
2012;Monforte;0.345;0.345;0.345;0.345;0.345;0.345;0.251;0.342;910.3
2012;Montalegre;1.0;0.0;0.258;0.0;0.958;0.0;0.06;0.125;766.1
2012;Montemor-o-Novo;0.289;0.0;0.063;0.0;0.718;0.812;0.214;0.29;875.8
2012;Montemor-o-Velho;0.348;0.0;0.157;0.0;0.662;1.0;0.284;0.224;832.1
2012;Montijo;0.463;0.073;0.122;0.0;1.0;1.0;1.0;0.458;987.5
2012;Mora;1.0;0.523;0.265;0.338;1.0;0.0;0.124;0.209;822.4
2012;Mortágua;0.0;0.261;0.0;0.0;0.739;0.0;0.075;0.271;862.9
2012;Moura;0.512;0.021;0.0;0.0;0.436;0.157;1.0;0.253;851.0
2012;Mourão;0.338;0.338;0.338;0.338;0.338;0.338;0.323;0.189;808.7
2012;Murça;0.523;0.0;0.0;0.0;1.0;1.0;0.16;0.056;720.8
2012;Murtosa;0.188;0.334;0.0;0.265;0.47;0.725;0.131;0.166;793.4
2012;Nazaré;0.094;0.031;0.125;0.16;0.798;0.627;0.171;0.196;813.5
2012;Nelas;0.223;0.0;0.0;0.0;0.418;0.92;0.366;0.413;957.1
2012;Nisa;0.0;0.362;0.0;0.366;1.0;0.746;0.103;0.168;794.6
2012;Nordeste;1.0;0.0;0.296;0.0;0.425;0.0;0.354;0.376;933.0
2012;Óbidos;0.188;0.0;0.314;0.345;0.523;0.648;0.071;0.366;925.9
2012;Odemira;0.582;0.641;0.181;0.031;1.0;0.0;0.354;0.257;854.2
2012;Odivelas;0.613;0.0;0.338;0.0;1.0;1.0;1.0;0.366;926.2
2012;Oleiros;0.523;0.331;0.063;0.331;0.725;0.331;0.009;0.099;749.0
2012;Olhão;0.324;0.944;0.251;0.0;1.0;0.38;0.939;0.353;917.3
2012;Oliveira de Azeméis;0.0;0.341;0.0;0.0;0.868;0.861;0.608;0.39;941.9
2012;Oliveira do Bairro;0.08;0.0;0.007;0.0;0.725;0.564;0.314;0.34;908.7
2012;Oliveira do Hospital;0.31;0.561;0.244;0.0;0.672;0.014;0.305;0.1;750.1
2012;Ourém;0.108;0.0;0.007;0.0;0.895;0.854;0.276;0.332;903.6
2012;Ourique;0.934;0.334;0.523;0.0;0.767;0.425;0.166;0.139;775.4
2012;Ovar;0.056;0.171;0.101;0.0;0.739;0.53;1.0;0.362;923.6
2012;Paços de Ferreira;0.202;0.293;0.181;0.0;0.913;0.042;1.0;0.044;712.9
2012;Pampilhosa da Serra;0.331;0.0;0.697;0.331;0.331;0.0;0.015;0.15;782.8
2012;Paredes;0.157;0.132;0.056;0.0;0.913;0.564;1.0;0.162;790.9
2012;Paredes de Coura;0.0;0.0;0.15;0.0;0.523;0.0;0.039;0.076;733.7
2012;Pedrógão Grande;0.331;0.369;0.331;0.0;0.331;0.829;0.049;0.108;755.4
2012;Penacova;0.0;0.0;0.296;0.244;0.62;0.15;0.12;0.223;831.4
2012;Penafiel;0.049;0.0;0.08;0.0;0.882;0.397;1.0;0.224;832.1
2012;Penalva do Castelo;0.0;0.0;0.15;0.0;0.592;0.0;0.103;0.131;770.7
2012;Penamacor;0.582;0.481;0.286;0.0;1.0;1.0;0.054;0.128;768.7
2012;Penedono;0.345;0.345;0.345;0.345;0.345;0.345;0.08;0.399;948.1
2012;Penela;0.345;0.0;0.345;0.0;0.345;0.707;0.052;0.421;962.7
2012;Peniche;0.429;0.226;0.164;0.0;0.976;0.728;0.376;0.265;859.0
2012;Peso da Régua;0.171;0.467;0.348;0.049;0.495;0.77;0.613;0.299;881.6
2012;Pinhel;0.139;0.753;0.303;0.331;0.958;0.0;0.172;0.112;757.9
2012;Pombal;0.237;0.432;0.122;0.502;1.0;0.714;0.47;0.35;915.5
2012;Ponta Delgada;0.78;0.843;0.209;0.0;0.944;0.69;1.0;0.376;933.0
2012;Ponta do Sol;0.369;0.334;0.0;0.334;1.0;0.334;0.16;0.158;788.2
2012;Ponte da Barca;0.0;0.0;0.477;0.0;0.93;0.028;0.18;0.17;796.3
2012;Ponte de Lima;0.0;0.0;0.0;0.0;0.652;0.035;0.432;0.113;758.4
2012;Ponte de Sor;0.08;0.0;0.181;0.0;0.537;0.0;0.468;0.32;895.9
2012;Portalegre;0.303;0.707;0.167;0.045;0.882;0.854;0.497;0.375;932.1
2012;Portel;0.334;0.958;0.334;0.334;0.334;0.603;0.158;0.179;802.5
2012;Portimão;0.446;0.54;0.324;0.017;1.0;1.0;1.0;0.423;963.9
2012;Porto de Mós;0.017;0.0;0.188;0.0;0.429;0.425;0.3;0.388;940.8
2012;Porto Moniz;0.523;0.334;0.0;0.334;1.0;0.334;0.003;0.213;825.0
2012;Póvoa de Lanhoso;0.24;0.247;0.108;0.0;0.864;0.53;0.241;0.112;758.0
2012;Póvoa de Varzim;0.122;0.0;0.199;0.0;0.676;0.906;1.0;0.349;914.7
2012;Povoação;1.0;0.418;0.54;0.01;1.0;1.0;0.588;0.376;933.0
2012;Proença-a-Nova;0.111;0.331;0.0;0.0;0.679;0.331;0.01;0.13;769.6
2012;Redondo;0.303;0.0;0.0;0.0;1.0;0.125;0.285;0.179;801.9
2012;Reguengos de Monsaraz;0.314;0.098;0.209;0.0;1.0;1.0;0.446;0.302;883.5
2012;Resende;0.233;0.0;0.08;0.0;0.997;0.836;0.546;0.129;769.1
2012;Ribeira Brava;0.439;1.0;0.0;0.387;0.704;0.683;0.152;0.159;789.1
