Ano;Regiao;Alunos10CGeral;Alunos10CProfissional;Alunos11CGeral;Alunos11CProfissional;Alunos12CGeral;Alunos12CProfissional;valor_RSI;valor_GMM;Valor RSI
2014;Câmara de Lobos;0.634;0.836;0.094;0.0;1.0;0.178;0.686;0.325;799.0
2014;Cascais;0.206;0.0;0.08;0.0;0.735;0.666;1.0;0.714;799.0
2014;Castelo Branco;0.425;0.0;0.195;0.0;0.749;0.662;0.977;0.306;799.0
2014;Chaves;0.275;0.0;0.0;0.0;0.617;0.85;0.522;0.236;799.0
2014;Coimbra;0.202;0.0;0.021;0.0;0.704;0.735;1.0;0.557;799.0
2014;Covilhã;0.122;0.0;0.153;0.0;0.895;0.422;0.866;0.29;799.0
2014;Elvas;0.373;0.209;0.362;0.0;1.0;0.0;1.0;0.239;799.0
2014;Espinho;0.052;0.0;0.028;0.0;0.666;1.0;0.864;0.261;799.0
2014;Estarreja;0.47;0.0;0.0;0.0;0.857;1.0;0.536;0.544;799.0
2014;Évora;0.042;0.0;0.0;0.0;0.202;0.533;1.0;0.535;572.0
2014;Fafe;0.0;0.0;0.0;0.0;0.739;0.857;0.507;0.087;572.0
2014;Faro;0.226;0.08;0.0;0.0;0.962;1.0;1.0;0.581;572.0
2014;Figueira da Foz;0.063;0.0;0.056;0.0;0.578;0.307;0.99;0.576;572.0
2014;Funchal;0.094;0.596;0.15;0.0;0.638;0.739;1.0;0.615;572.0
2014;Gondomar;0.195;0.0;0.0;0.0;0.693;0.78;1.0;0.336;572.0
2014;Guarda;0.035;0.0;0.042;0.0;0.833;0.54;0.776;0.366;799.0
2014;Guimarães;0.226;0.0;0.0;0.0;0.951;0.693;0.815;0.242;799.0
2014;Ílhavo;0.091;0.171;0.0;0.0;0.951;0.739;0.501;0.468;799.0
2014;Lagoa [R.A.A.];1.0;1.0;0.551;0.328;1.0;1.0;1.0;0.376;799.0
2014;Leiria;0.118;0.0;0.073;0.0;0.864;1.0;1.0;0.481;799.0
2014;Lisboa;0.279;0.0;0.181;0.0;0.801;1.0;1.0;1.0;799.0
2014;Loulé;0.634;0.07;0.31;0.0;1.0;1.0;0.857;0.397;799.0
2014;Loures;0.275;0.0;0.331;0.0;1.0;1.0;1.0;0.671;799.0
2014;Lousada;0.094;0.0;0.0;0.0;0.728;0.509;0.655;0.038;799.0
2014;Mafra;0.174;0.0;0.0;0.0;1.0;0.718;0.512;0.321;799.0
2014;Maia;0.244;0.028;0.118;0.0;0.791;0.885;1.0;0.739;799.0
2014;Marco de Canaveses;0.0;0.0;0.0;0.0;0.742;0.157;1.0;0.175;799.0
2014;Marinha Grande;0.0;0.0;0.0;0.0;0.801;0.331;0.631;0.747;799.0
2014;Matosinhos;0.544;0.0;0.178;0.0;1.0;0.425;1.0;0.664;799.0
2014;Moita;0.418;0.0;0.31;0.0;1.0;1.0;1.0;0.389;799.0
2014;Montijo;0.251;0.0;0.174;0.0;1.0;0.941;1.0;0.432;799.0
2014;Moura;0.035;0.0;0.143;0.0;0.833;0.46;0.995;0.285;799.0
2014;Odivelas;0.533;0.0;0.303;0.0;1.0;1.0;1.0;0.35;799.0
2014;Oeiras;0.275;0.0;0.059;0.0;0.92;0.645;1.0;1.0;797.0
2014;Olhão;0.463;0.014;0.251;0.0;1.0;1.0;0.617;0.303;797.0
2014;Ovar;0.303;0.0;0.206;0.0;0.847;0.774;0.999;0.372;797.0
2014;Paços de Ferreira;0.136;0.0;0.0;0.0;0.923;0.139;1.0;0.093;797.0
2014;Palmela;0.307;0.0;0.014;0.0;0.951;0.432;0.612;0.973;797.0
2014;Paredes;0.209;0.0;0.139;0.0;0.979;0.582;1.0;0.173;797.0
2014;Penafiel;0.01;0.0;0.0;0.0;0.878;0.202;1.0;0.258;799.0
2014;Ponta Delgada;0.498;0.617;0.282;0.0;1.0;0.683;1.0;0.376;799.0
2014;Portimão;0.467;0.021;0.223;0.0;0.986;1.0;1.0;0.386;799.0
2014;Porto;0.07;0.0;0.0;0.0;0.443;0.578;1.0;0.94;799.0
2014;Póvoa de Varzim;0.174;0.024;0.0;0.0;0.895;0.61;0.707;0.27;799.0
2014;Ribeira Grande;0.397;0.446;0.387;0.139;0.47;0.582;1.0;0.376;799.0
2014;Santa Maria da Feira;0.0;0.0;0.0;0.0;0.505;0.819;1.0;0.425;573.0
2014;Santarém;0.16;0.0;0.098;0.0;0.843;1.0;0.968;0.451;573.0
2014;Santo Tirso;0.024;0.0;0.0;0.0;0.787;0.3;0.992;0.276;573.0
2014;Seixal;0.369;0.0;0.153;0.0;1.0;1.0;1.0;0.686;573.0
2014;Sesimbra;0.477;0.0;0.171;0.0;1.0;1.0;0.504;0.328;573.0
2014;Setúbal;0.289;0.0;0.098;0.0;1.0;0.843;1.0;0.774;573.0
2014;Sintra;0.484;0.0;0.22;0.0;1.0;1.0;1.0;0.761;419.0
2014;Tomar;0.261;0.0;0.22;0.0;0.801;1.0;0.501;0.363;419.0
2014;Torres Vedras;0.181;0.0;0.108;0.0;1.0;1.0;0.529;0.407;419.0
2014;Trofa;0.031;0.0;0.0;0.0;0.362;0.662;0.603;0.422;419.0
2014;Valongo;0.15;0.0;0.118;0.0;1.0;0.979;1.0;0.443;419.0
2014;Viana do Castelo;0.042;0.0;0.0;0.0;0.676;0.091;0.84;0.401;419.0
2014;Vila da Praia da Vitória;0.456;0.578;0.303;0.0;1.0;0.467;1.0;0.376;799.0
2014;Vila do Conde;0.125;0.0;0.01;0.038;1.0;0.338;0.739;0.468;799.0
2014;Vila Franca de Xira;0.394;0.0;0.167;0.0;0.61;1.0;1.0;0.648;799.0
2014;Vila Franca do Campo;0.648;0.749;0.756;0.0;1.0;0.875;0.853;0.376;799.0
2014;Vila Nova de Famalicão;0.049;0.0;0.035;0.0;0.61;0.679;1.0;0.393;799.0
2014;Vila Nova de Gaia;0.22;0.0;0.073;0.0;0.969;0.561;1.0;0.552;799.0
2014;Vila Real;0.31;0.0;0.247;0.0;0.808;0.676;0.773;0.429;586.0
2014;Viseu;0.118;0.0;0.0;0.0;0.721;0.822;1.0;0.364;586.0
2015;Abrantes;0.118;0.843;0.15;0.077;0.857;0.582;0.601;0.473;586.0
2015;Almada;0.247;0.0;0.157;0.0;0.847;1.0;1.0;0.556;586.0
2015;Amadora;0.422;0.052;0.233;0.0;1.0;1.0;1.0;0.905;586.0
2015;Amarante;0.038;0.0;0.0;0.0;0.62;0.035;0.747;0.239;586.0
2015;Angra do Heroísmo;0.418;0.693;0.317;0.0;0.763;1.0;1.0;0.368;603.0
2015;Aveiro;0.073;0.0;0.017;0.0;0.53;0.355;0.963;0.664;603.0
