Ano;Regiao;Alunos10CGeral;Alunos10CProfissional;Alunos11CGeral;Alunos11CProfissional;Alunos12CGeral;Alunos12CProfissional;valor_RSI;valor_GMM;Valor RSI
2012;Nordeste;1.0;0.0;0.296;0.0;0.425;0.0;0.354;0.376;50.0
2012;Óbidos;0.188;0.0;0.314;0.345;0.523;0.648;0.071;0.366;50.0
2012;Odemira;0.582;0.641;0.181;0.031;1.0;0.0;0.354;0.257;50.0
2012;Oleiros;0.523;0.331;0.063;0.331;0.725;0.331;0.009;0.099;50.0
2012;Oliveira do Bairro;0.08;0.0;0.007;0.0;0.725;0.564;0.314;0.34;240.0
2012;Oliveira do Hospital;0.31;0.561;0.244;0.0;0.672;0.014;0.305;0.1;240.0
2012;Ourém;0.108;0.0;0.007;0.0;0.895;0.854;0.276;0.332;240.0
2012;Ourique;0.934;0.334;0.523;0.0;0.767;0.425;0.166;0.139;240.0
2012;Pampilhosa da Serra;0.331;0.0;0.697;0.331;0.331;0.0;0.015;0.15;240.0
2012;Paredes de Coura;0.0;0.0;0.15;0.0;0.523;0.0;0.039;0.076;240.0
2012;Pedrógão Grande;0.331;0.369;0.331;0.0;0.331;0.829;0.049;0.108;141.0
2012;Penacova;0.0;0.0;0.296;0.244;0.62;0.15;0.12;0.223;141.0
2012;Penalva do Castelo;0.0;0.0;0.15;0.0;0.592;0.0;0.103;0.131;141.0
2012;Penamacor;0.582;0.481;0.286;0.0;1.0;1.0;0.054;0.128;141.0
2012;Penedono;0.345;0.345;0.345;0.345;0.345;0.345;0.08;0.399;141.0
2012;Penela;0.345;0.0;0.345;0.0;0.345;0.707;0.052;0.421;141.0
2012;Peniche;0.429;0.226;0.164;0.0;0.976;0.728;0.376;0.265;129.0
2012;Pinhel;0.139;0.753;0.303;0.331;0.958;0.0;0.172;0.112;129.0
2012;Pombal;0.237;0.432;0.122;0.502;1.0;0.714;0.47;0.35;129.0
2012;Ponta do Sol;0.369;0.334;0.0;0.334;1.0;0.334;0.16;0.158;129.0
2012;Ponte da Barca;0.0;0.0;0.477;0.0;0.93;0.028;0.18;0.17;129.0
2012;Ponte de Lima;0.0;0.0;0.0;0.0;0.652;0.035;0.432;0.113;129.0
2012;Ponte de Sor;0.08;0.0;0.181;0.0;0.537;0.0;0.468;0.32;128.0
2012;Portalegre;0.303;0.707;0.167;0.045;0.882;0.854;0.497;0.375;128.0
2012;Portel;0.334;0.958;0.334;0.334;0.334;0.603;0.158;0.179;128.0
2012;Porto de Mós;0.017;0.0;0.188;0.0;0.429;0.425;0.3;0.388;128.0
2012;Porto Moniz;0.523;0.334;0.0;0.334;1.0;0.334;0.003;0.213;128.0
2012;Póvoa de Lanhoso;0.24;0.247;0.108;0.0;0.864;0.53;0.241;0.112;128.0
2012;Proença-a-Nova;0.111;0.331;0.0;0.0;0.679;0.331;0.01;0.13;219.0
2012;Redondo;0.303;0.0;0.0;0.0;1.0;0.125;0.285;0.179;219.0
2012;Reguengos de Monsaraz;0.314;0.098;0.209;0.0;1.0;1.0;0.446;0.302;219.0
2012;Ribeira Brava;0.439;1.0;0.0;0.387;0.704;0.683;0.152;0.159;219.0
2012;Ribeira de Pena;0.087;0.0;0.01;0.0;1.0;0.0;0.112;0.209;219.0
2012;Rio Maior;0.038;0.0;0.226;0.0;1.0;0.871;0.299;0.332;219.0
2012;Sabrosa;0.188;0.0;0.049;0.0;0.662;0.115;0.146;0.414;100.0
2012;Sabugal;0.895;0.0;0.073;0.0;1.0;0.0;0.26;0.116;100.0
2012;Salvaterra de Magos;0.213;0.0;0.436;0.0;1.0;1.0;0.345;0.305;100.0
2012;Santa Comba Dão;0.0;0.446;0.0;0.111;1.0;1.0;0.161;0.229;100.0
2012;Santa Cruz da Graciosa;0.686;1.0;0.348;0.425;1.0;0.345;0.209;0.376;100.0
2012;Santa Cruz das Flores;0.603;0.345;0.777;0.345;1.0;0.345;0.068;0.376;100.0
2012;Santa Marta de Penaguião;0.331;0.331;0.331;0.331;0.331;0.331;0.243;0.091;211.0
2012;Santana;0.0;0.338;0.0;0.338;0.997;0.338;0.172;0.214;211.0
2012;Santiago do Cacém;0.077;0.223;0.0;0.0;0.833;0.348;0.297;0.357;211.0
2012;São Brás de Alportel;0.254;0.0;0.265;0.0;0.233;1.0;0.18;0.38;211.0
2012;São João da Madeira;0.0;0.0;0.0;0.0;0.861;0.265;0.295;0.38;211.0
2012;São João da Pesqueira;0.69;0.362;0.3;0.031;1.0;1.0;0.147;0.19;211.0
2012;São Pedro do Sul;0.101;0.0;0.024;0.0;0.77;0.0;0.199;0.078;91.0
2012;São Roque do Pico;0.613;0.345;0.725;0.0;0.348;0.812;0.137;0.376;91.0
2012;São Vicente;0.0;1.0;0.087;0.0;0.812;0.76;0.046;0.206;91.0
2012;Sardoal;0.47;0.77;0.812;0.0;0.871;0.488;0.105;0.121;91.0
2012;Sátão;0.348;0.063;0.293;0.0;1.0;1.0;0.234;0.071;91.0
2012;Sernancelhe;0.328;0.0;0.328;0.0;0.328;0.0;0.153;0.051;91.0
2012;Sertã;0.185;0.0;0.0;0.0;0.941;0.446;0.207;0.155;61.0
2012;Sever do Vouga;0.15;0.0;0.0;0.0;0.753;0.01;0.071;0.342;61.0
2012;Silves;0.334;0.275;0.115;0.0;0.655;1.0;0.364;0.327;61.0
2012;Sobral de Monte Agraço;0.272;0.0;0.0;0.0;0.303;0.338;0.106;0.233;61.0
2012;Soure;0.129;0.07;0.0;0.0;0.341;0.0;0.113;0.192;61.0
2012;Sousel;0.334;0.334;0.334;0.334;0.334;0.334;0.138;0.154;61.0
2012;Tábua;0.54;0.725;0.247;0.052;1.0;0.0;0.267;0.09;82.0
2012;Tabuaço;0.195;0.0;0.049;0.0;1.0;0.338;0.193;0.187;82.0
2012;Tarouca;0.279;0.0;0.366;0.0;1.0;0.0;0.179;0.144;82.0
2012;Tavira;0.073;0.369;0.533;0.0;0.822;1.0;0.375;0.247;82.0
2012;Terras de Bouro;1.0;0.0;0.15;0.0;1.0;0.0;0.027;0.226;82.0
2012;Tondela;0.275;0.132;0.003;0.0;0.937;0.509;0.21;0.368;82.0
2012;Torres Novas;0.063;0.028;0.0;0.0;0.787;0.091;0.417;0.484;196.0
2012;Trancoso;0.0;0.038;0.105;0.0;1.0;0.76;0.156;0.203;196.0
2012;Vagos;0.0;0.042;0.101;0.0;1.0;0.446;0.152;0.261;196.0
2012;Vale de Cambra;0.031;0.087;0.0;0.0;0.568;0.213;0.132;0.486;196.0
2012;Valença;0.209;0.3;0.0;0.0;0.843;0.376;0.202;0.258;196.0
2012;Valpaços;0.15;0.0;0.167;0.0;0.753;0.105;0.355;0.09;196.0
