Ano;Regiao;Curso;Ano Escolar;Valor Alunos;Valor RSI;Valor GMM;zscore_valor_alunos;zscore_bool_valor_alunos;zscore_valor_rsi;zscore_bool_valor_rsi;zscore_valor_gmm;zscore_bool_valor_gmm
2012;Almeida;Cursos gerais;11º ano;15.9;101.0;761.0;0.1938383914176826;TRUE;-0.3325035768264851;TRUE;-1.1086706891346705;TRUE
2012;Almeida;Cursos gerais;12º ano;47.97986643658798;101.0;761.0;3.038083291265652;FALSE;-0.3325035768264851;TRUE;-1.1086706891346705;TRUE
2012;Almeida;Cursos Tecnológicos e Profissionais;10º ano;17.4;101.0;761.0;0.3189518034344553;TRUE;-0.3325035768264851;TRUE;-1.1086706891346705;TRUE
2012;Almeida;Cursos Tecnológicos e Profissionais;11º ano;19.5;101.0;761.0;0.4941105802579374;TRUE;-0.3325035768264851;TRUE;-1.1086706891346705;TRUE
2012;Almeida;Cursos Tecnológicos e Profissionais;12º ano;14.3;101.0;761.0;0.0603840852664582;TRUE;-0.3325035768264851;TRUE;-1.1086706891346705;TRUE
2012;Almeirim;Cursos gerais;10º ano;23.9;431.0;920.8;0.8611099221738043;TRUE;0.0109415194469469;TRUE;-0.2420432865002041;TRUE
2012;Almeirim;Cursos gerais;11º ano;11.5;431.0;920.8;-0.1731609504981844;TRUE;0.0109415194469469;TRUE;-0.2420432865002041;TRUE
2012;Almeirim;Cursos gerais;12º ano;31.6;431.0;920.8;1.503358770526572;TRUE;0.0109415194469469;TRUE;-0.2420432865002041;TRUE
2012;Almeirim;Cursos Tecnológicos e Profissionais;10º ano;0.0;431.0;920.8;-1.1323637759601095;TRUE;0.0109415194469469;TRUE;-0.2420432865002041;TRUE
2012;Almeirim;Cursos Tecnológicos e Profissionais;11º ano;0.0;431.0;920.8;-1.1323637759601095;TRUE;0.0109415194469469;TRUE;-0.2420432865002041;TRUE
2012;Almeirim;Cursos Tecnológicos e Profissionais;12º ano;3.4;431.0;920.8;-0.8487733753887579;TRUE;0.0109415194469469;TRUE;-0.2420432865002041;TRUE
2012;Almodôvar;Cursos gerais;10º ano;18.2;83.0;780.8;0.3856789565100675;TRUE;-0.3512369457141269;TRUE;-1.0012913238520522;TRUE
2012;Almodôvar;Cursos gerais;11º ano;7.7;83.0;780.8;-0.4901149276073424;TRUE;-0.3512369457141269;TRUE;-1.0012913238520522;TRUE
2012;Almodôvar;Cursos gerais;12º ano;47.97986643658798;83.0;780.8;3.171537597416877;FALSE;-0.3512369457141269;TRUE;-1.0012913238520522;TRUE
2012;Almodôvar;Cursos Tecnológicos e Profissionais;10º ano;16.0;83.0;780.8;0.2021792855521341;TRUE;-0.3512369457141269;TRUE;-1.0012913238520522;TRUE
2012;Almodôvar;Cursos Tecnológicos e Profissionais;11º ano;6.7;83.0;780.8;-0.5735238689518576;TRUE;-0.3512369457141269;TRUE;-1.0012913238520522;TRUE
2012;Almodôvar;Cursos Tecnológicos e Profissionais;12º ano;0.0;83.0;780.8;-1.1323637759601095;TRUE;-0.3512369457141269;TRUE;-1.0012913238520522;TRUE
2012;Alpiarça;Cursos gerais;10º ano;2.7;89.0;891.7;-0.9071596343299186;TRUE;-0.3449924894182463;TRUE;-0.3998584142640521;TRUE
2012;Alpiarça;Cursos gerais;11º ano;10.5;89.0;891.7;-0.2565698918426997;TRUE;-0.3449924894182463;TRUE;-0.3998584142640521;TRUE
2012;Alpiarça;Cursos gerais;12º ano;47.97986643658798;89.0;891.7;3.038083291265652;FALSE;-0.3449924894182463;TRUE;-0.3998584142640521;TRUE
2012;Alpiarça;Cursos Tecnológicos e Profissionais;10º ano;15.2;89.0;891.7;0.1354521324765218;TRUE;-0.3449924894182463;TRUE;-0.3998584142640521;TRUE
2012;Alpiarça;Cursos Tecnológicos e Profissionais;11º ano;19.8;89.0;891.7;0.5191332626612921;TRUE;-0.3449924894182463;TRUE;-0.3998584142640521;TRUE
2012;Alpiarça;Cursos Tecnológicos e Profissionais;12º ano;20.0;89.0;891.7;0.5358150509301951;TRUE;-0.3449924894182463;TRUE;-0.3998584142640521;TRUE
2012;Alter do Chão;Cursos gerais;10º ano;15.8;126.0;801.3;0.1854974972832311;TRUE;-0.3064850089269826;TRUE;-0.8901157183826744;TRUE
2012;Alter do Chão;Cursos gerais;11º ano;23.1;126.0;801.3;0.7943827690981924;TRUE;-0.3064850089269826;TRUE;-0.8901157183826744;TRUE
2012;Alter do Chão;Cursos gerais;12º ano;47.97986643658798;126.0;801.3;4.080695058072092;FALSE;-0.3064850089269826;TRUE;-0.8901157183826744;TRUE
2012;Alter do Chão;Cursos Tecnológicos e Profissionais;10º ano;0.0;126.0;801.3;-1.1323637759601095;TRUE;-0.3064850089269826;TRUE;-0.8901157183826744;TRUE
