Ano;Regiao;Alunos10CGeral;Alunos10CProfissional;Alunos11CGeral;Alunos11CProfissional;Alunos12CGeral;Alunos12CProfissional;valor_RSI;valor_GMM;;;;
2012;Lisboa;0.275;0.153;0.181;0.0;0.794;1.0;1.0;1.0;;;;
2012;Loulé;0.362;0.216;0.443;0.0;1.0;1.0;1.0;0.414;0.604;;0.604;0.604
2012;Loures;0.526;0.164;0.279;0.0;1.0;1.0;1.0;0.685;;;;
2012;Lourinhã;0.199;0.195;0.0;0.0;1.0;0.669;0.414;0.222;0.905;;0.905;0.905
2012;Lousã;0.836;0.0;0.0;0.0;1.0;1.0;0.331;0.282;0.664;;0.664;0.664
2012;Lousada;0.314;0.0;0.125;0.0;0.868;0.052;1.0;0.02;0.66;;0.66;0.66
2012;Mação;0.443;0.0;0.0;0.0;1.0;0.0;0.025;0.139;0.597;;0.597;0.597
2012;Macedo de Cavaleiros;0.303;0.181;0.052;0.202;0.777;1.0;0.241;0.126;0.515;;0.515;0.515
2012;Machico;0.47;1.0;0.251;0.0;0.882;0.739;0.413;0.521;;;;
2012;Madalena;0.446;0.822;0.286;0.0;0.683;0.0;0.165;0.376;0.757;;0.757;0.757
2012;Mafra;0.091;0.425;0.31;0.0;0.909;1.0;0.667;0.311;0.706;;0.706;0.706
2012;Maia;0.164;0.282;0.017;0.0;1.0;0.467;1.0;0.722;;;;
2012;Mangualde;0.369;0.132;0.303;0.115;0.993;1.0;0.373;0.354;0.558;;0.558;0.558
2012;Manteigas;0.0;0.017;0.087;0.0;0.739;0.648;0.034;0.073;0.691;;0.691;0.691
2012;Marco de Canaveses;0.0;0.0;0.049;0.0;1.0;0.362;1.0;0.21;0.616;;0.616;0.616
2012;Marinha Grande;0.052;0.0;0.077;0.0;1.0;0.843;0.711;0.7;;;;
2012;Marvão;0.328;0.328;0.328;0.328;0.328;0.328;0.075;0.073;0.533;;0.533;0.533
2012;Matosinhos;0.46;0.118;0.167;0.0;0.84;0.216;1.0;0.658;;;;
2012;Mealhada;0.596;0.115;0.439;0.0;0.415;0.261;0.141;0.392;0.595;;0.595;0.595
2012;Mêda;0.15;0.443;0.753;0.0;0.777;0.397;0.035;0.148;0.617;;0.617;0.617
2012;Melgaço;0.836;0.561;0.244;0.0;1.0;0.01;0.024;0.079;1.0;;1.0;1.0
2012;Mértola;0.087;0.0;0.188;0.0;0.993;0.038;0.108;0.165;0.686;;0.686;0.686
2012;Mesão Frio;0.0;0.0;0.0;0.15;1.0;0.296;0.176;0.106;0.559;;0.559;0.559
2012;Mira;0.0;0.676;0.038;0.038;0.244;0.854;0.127;0.235;0.748;;0.748;0.748
2012;Miranda do Corvo;0.052;0.366;0.0;0.0;1.0;0.338;0.203;0.188;0.809;;0.809;0.809
2012;Miranda do Douro;0.746;0.314;0.334;0.425;1.0;1.0;0.089;0.197;0.692;;0.692;0.692
2012;Mirandela;0.129;0.463;0.394;0.0;1.0;0.418;0.361;0.236;1.0;;1.0;1.0
2012;Mogadouro;0.913;0.425;0.787;0.038;1.0;0.348;0.051;0.14;0.508;;0.508;0.508
2012;Moimenta da Beira;0.0;0.812;0.0;0.07;0.547;0.139;0.331;0.077;0.993;;0.993;0.993
